,vw.1,vw.2,vw.3
characteristic,1,2,3
eut,<powerwall.Powerwall object at 0x000002AA1E539AC0>,<powerwall.Powerwall object at 0x000002AA1E539AC0>,<powerwall.Powerwall object at 0x000002AA1E539AC0>
vh,276.0,276.0,276.0
vl,204.0,204.0,204.0
av,3.5999999999999996,3.5999999999999996,3.5999999999999996
v1,254.4,252.0,261.6
p1,5000,5000,5000
v2,264.0,264.0,264.0
p2_prime,0,-5000,-5000
ol_tr,10,90,0.5
steps,"[207.6, 250.8, 258.0, 259.2, 260.4, 267.6, 272.4, 267.6, 260.4, 259.2, 258.0, 250.8, 207.6]","[207.6, 248.4, 255.6, 258.0, 260.4, 267.6, 272.4, 267.6, 260.4, 258.0, 255.6, 248.4, 207.6]","[207.6, 258.0, 265.20000000000005, 262.8, 260.4, 267.6, 272.4, 267.6, 260.4, 262.8, 265.20000000000005, 258.0, 207.6]"
